116.0000	1584.0000
40.0000	1570.6666
40.6667	1524.6666
68.6667	1486.0000
152.0000	1490.0000
191.3333	1589.3334
252.0000	1644.6666
388.0000	1576.6666
368.6667	1724.6666
541.3334	1672.6666
425.3333	1681.3334
548.0000	1702.0000
632.0000	1722.0000
612.6667	1763.3334
486.6667	1782.0000
41.3333	1771.3334
62.6667	1738.6666
32.6667	1704.6666
55.3333	1682.0000
136.0000	1719.3334
140.0000	1758.0000
190.0000	1768.0000
215.3333	1732.0000
1997.3333	52.0000
1989.3333	128.6667
1658.6666	210.6667
1994.6666	258.6667
1992.0000	398.6667
1705.3333	372.6667
1228.0000	109.3333
1112.6666	190.0000
986.6667	28.0000
871.6667	197.3333
1135.0000	96.6667
1180.3333	372.0000
841.6667	362.0000
629.0000	201.3333
651.0000	549.0000
593.0000	475.0000
483.6667	497.0000
736.3334	618.3333
1375.0000	1403.0000
1471.0000	1483.0000
1526.0000	1631.0000
1651.0000	1696.0000
1297.0000	1334.0000
1334.0000	1244.0000
682.0000	43.0000
814.0000	42.0000
609.0000	302.0000
265.0000	156.0000
586.0000	420.0000
1560.0000	1126.0000
1605.0000	1658.0000
1185.0000	1482.0000
